Id,Label,Entropy,OTE
2,2,3.470628,30.388178
3,3,2.290925,34.882792
5,5,2.406162,0.000000
7,7,2.219669,4.443066
8,8,2.946244,20.513195
9,9,3.640561,34.130046
10,10,3.191064,7.510826
11,11,2.726721,13.376761
12,12,3.017240,1.752461
13,13,3.418058,16.451377
14,14,2.846055,14.628577
17,17,2.605279,8.897442
18,18,3.441973,9.842062
20,20,2.914397,7.576483
21,21,3.466551,30.544276
22,22,3.069099,4.465240
23,23,3.306118,19.438756
25,25,2.283669,4.059065
26,26,2.127758,0.836732
27,27,3.306250,12.303886
28,28,3.566837,18.567381
30,30,3.495276,12.502854
31,31,3.408601,13.534333
33,33,3.308311,2.512399
34,34,1.562121,0.000000
35,35,2.956876,11.893130
36,36,3.149675,13.973388
37,37,3.725673,21.042356
38,38,2.771766,3.336891
39,39,3.081751,8.317520
40,40,3.219530,22.230101
41,41,3.041175,12.882931
42,42,3.045593,7.891005
43,43,3.021052,0.762836
44,44,3.198735,5.924302
45,45,3.293852,14.067940
46,46,3.451150,24.898036
47,47,3.380398,15.526956
48,48,3.114465,19.412667
49,49,2.532530,9.237977
50,50,3.329315,26.205035
51,51,3.355228,15.570738
52,52,3.561656,14.621551
53,53,3.654406,22.332938
54,54,3.809242,37.967319
55,55,3.716923,28.231531
56,56,3.703477,23.703311
57,57,1.184788,5.937295
58,58,1.502005,0.000000
60,60,3.567606,24.782167
61,61,3.084553,3.342818
62,62,3.670916,21.805413
63,63,3.356369,19.901958
64,64,2.780458,0.800778
65,65,3.467027,15.459370
66,66,3.201445,16.225421
