,V1
1,0.970950594454669
2,3.05878227704637
3,2.85315652335242
4,3.14466149198721
5,3.44353712028408
6,0.424268152324151
7,0.857456592272512
8,2.72780911443743
9,3.10966043766882
10,2.39842682513466
11,3.29139287617096
12,3.30491314207224
13,3.33477628072117
14,2.41451890012903
15,2.70961659652632
16,1.76242228378753
17,2.89128722780434
18,2.34969344860816
19,0
20,3.41190834412212
21,3.11424879121597
22,2.5481728443859
23,3.36403496621527
24,1.78752666984707
25,1.91377629157514
26,3.33517121501802
27,3.73097135960052
28,3.21622703525464
29,2.49487048276595
30,3.63086748695969
31,3.32713661846699
32,3.14206901799243
33,3.14320200800079
34,1.78864407016422
35,2.87227163351619
36,3.69175347233788
37,3.26556259259033
38,3.36781412325859
39,1.49784527035149
40,3.15896497553954
41,0.919154826695088
42,3.09249827518411
43,2.91967303708945
44,3.0385836165324
45,2.5620184446274
46,3.40714398350844
47,3.25724597858698
48,2.42066786597094
49,2.08171903522317
50,3.14429393829949
51,3.14167715398095
52,3.8030370700607
53,3.58625092792176
54,3.69047831824374
55,3.52515100086122
56,3.62481001210696
57,1.94553055603633
58,0.704312422992621
59,1.43751722271686
60,3.33670438727003
61,3.4270525993428
62,3.11871132283507
63,3.08556162568661
64,2.57344950250454
65,3.02981507526864
66,3.27790391506749
